kode;Provinsi;Usia Produktif;<= SD/MI;SMP/MTS;SMA/SMK;Perguruan Tinggi;Primer;Sekunder;Tersier
11;Aceh;2552562;716751;507083;941526;387202;991662;343409;415467
12;Sumatera Utara;7669870;1933587;1527752;3259867;948664;2526663;1189921;1722162
13;Sumatera Barat;2868270;928563;498879;981467;459361;978093;361346;674181
14;Riau;3313818;1100210;577105;1192689;443814;1301185;420364;711412
15;Jambi;1884278;707118;354611;599023;223526;918916;185364;344126
16;Sumatera Selatan;4497960;1847674;779819;1379954;490513;2067293;490798;876788
17;Bengkulu;1076115;405690;193296;319701;157428;510762;105815;208524
18;Lampung;4595931;1820933;1066933;1315961;392104;1931264;651745;1060170
19;Kepulauan Bangka Belitung;767603;323787;109364;241183;93269;322068;85832;156472
21;Kepulauan Riau;1259712;255306;157923;661878;184605;99750;386094;302484
31;DKI Jakarta;5252396;682751;687713;2670172;1211760;42479;752492;2110842
32;Jawa Barat;25578174;9554291;4508910;8578904;2936069;3733093;6440922;7270910
33;Jawa Tengah;19474934;8772198;3902524;5147693;1652519;4642461;5592590;4382870
34;DI Yogyakarta;2336076;591706;415563;901750;427057;408983;555117;592506
35;Jawa Timur;22869012;10020225;4116741;6509470;2222576;6874713;4730509;5377292
36;Banten;6463631;2102550;1121750;2349278;890053;709503;1800889;1838564
51;Bali;2738539;858935;367116;1016352;496136;524834;595594;719081
52;Nusa Tenggara Barat;2799178;1280665;440145;728512;349856;980529;455327;716391
53;Nusa Tenggara Timur;3022421;1483955;375130;749495;413841;1465640;464907;480103
61;Kalimantan Barat;2695203;1200038;460988;741083;293094;1319803;275990;471648
62;Kalimantan Tengah;1404304;579933;258682;388549;177140;632694;121872;262806
63;Kalimantan Selatan;2196250;952744;348258;633520;261728;764753;295174;493477
64;Kalimantan Timur;1852802;471568;275683;821482;284069;480015;253672;486509
65;Kalimantan Utara;370012;125911;52390;126979;64732;130844;46534;76182
71;Sulawesi Utara;1242088;357180;214094;489062;181752;320758;217664;302839
72;Sulawesi Tengah;1635465;670296;268209;477053;219907;717395;212053;305732
73;Sulawesi Selatan;4559375;1774626;671526;1391805;721418;1705830;644393;1051353
74;Sulawesi Tenggara;1382395;456274;219270;447442;259409;472475;215990;320259
75;Gorontalo;630534;317958;70507;154560;87509;220115;89682;153417
76;Sulawesi Barat;749447;364798;116578;179385;88686;371815;91024;146035
81;Maluku;868581;234412;123525;343600;167044;287103;125061;180856
82;Maluku Utara;609241;219393;89430;210273;90145;186313;148704;112181
91;Papua Barat;515370;161544;78778;182139;92909;197340;51404;105144
94;Papua;1991097;1173529;269172;413729;134667;1397009;77768;205966
